iteration,exact_match,first_word_accuracy
7500,0.7723,0.9088
500,0.1616,0.4189
27000,0.5231,0.9646
36000,0.5689,0.8065
71500,0.5122,0.6759
62000,0.5277,0.7204
50500,0.4561,0.6755
67500,0.5188,0.7114
18500,0.7196,0.856
45500,0.7503,0.8325
59000,0.5144,0.7081
45000,0.6235,0.7618
54000,0.4975,0.684
69000,0.5291,0.6934
61500,0.5238,0.7097
2000,0.5204,0.582
11500,0.7964,0.9323
41000,0.4949,0.7241
55500,0.5464,0.7347
26000,0.2636,0.8613
15000,0.615,0.7758
72000,0.5293,0.6954
65000,0.5019,0.7061
24500,0.6572,0.9844
43500,0.5985,0.7908
41500,0.4947,0.7237
74500,0.5279,0.6949
16000,0.6547,0.7915
39500,0.3539,0.6883
38500,0.3766,0.708
46000,0.7243,0.8102
55000,0.5494,0.7341
63500,0.4875,0.7107
7000,0.8384,0.9296
33500,0.3216,0.6074
23500,0.7958,0.8971
10500,0.3949,0.6845
52500,0.486,0.7298
5000,0.8432,0.9385
28000,0.548,0.8675
14500,0.7168,0.8212
61000,0.5259,0.7111
27500,0.692,0.9894
73000,0.5291,0.6951
4500,0.8487,0.9748
34000,0.575,0.7096
22000,0.8222,0.933
57000,0.4664,0.6619
47000,0.7228,0.8091
21000,0.7626,0.9129
34500,0.4869,0.6458
54500,0.4983,0.6843
19500,0.6639,0.7846
29000,0.4978,0.9579
6000,0.4811,0.7144
38000,0.4196,0.7689
71000,0.5125,0.676
18000,0.8151,0.8783
36500,0.5757,0.7542
40000,0.4608,0.7061
70500,0.5131,0.6764
66500,0.5191,0.7121
3000,0.847,0.8829
9000,0.7917,0.9464
8500,0.5976,0.9578
14000,0.8123,0.879
68500,0.5302,0.6946
3500,0.8912,0.911
21500,0.8894,0.943
74000,0.5293,0.6949
12500,0.8436,0.9296
58000,0.4982,0.6893
69500,0.5145,0.6796
59500,0.5143,0.7071
37500,0.4209,0.7843
2500,0.5373,0.6154
31500,0.2179,0.8978
66000,0.5207,0.7118
42000,0.374,0.6185
8000,0.8786,0.9092
30000,0.4859,0.9363
15500,0.4481,0.6143
9500,0.8072,0.9443
6500,0.5649,0.8511
32000,0.4911,0.8486
29500,0.536,0.9486
40500,0.4834,0.7241
42500,0.3897,0.6346
47500,0.7382,0.8234
1000,0.4883,0.5452
16500,0.7556,0.8791
35500,0.5072,0.7056
56500,0.4731,0.6694
28500,0.425,0.9035
53500,0.4865,0.7163
30500,0.3532,0.9215
17500,0.817,0.8863
65500,0.5005,0.7058
58500,0.4691,0.6748
11000,0.1973,0.718
44000,0.5599,0.7584
20500,0.8417,0.9024
53000,0.4858,0.7159
12000,0.8197,0.9214
73500,0.529,0.695
31000,0.3476,0.9234
57500,0.4976,0.6896
1500,0.3845,0.5388
23000,0.8928,0.9603
13500,0.8247,0.9017
17000,0.6126,0.9061
51500,0.4867,0.6871
19000,0.5832,0.7029
24000,0.7698,0.9973
43000,0.3617,0.6634
46500,0.7234,0.8095
64000,0.4862,0.7106
25500,0.233,0.8735
64500,0.4842,0.7046
49000,0.6762,0.8313
25000,0.3963,0.7983
4000,0.9853,0.992
75000,0.5279,0.6949
13000,0.8246,0.928
33000,0.4124,0.7642
39000,0.3724,0.706
35000,0.5056,0.7042
